CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
7617348,ASSOCIACAO DE AMIGOS DO AUTISTA - AMA PARELHEIROS,CLINICA/CENTRO DE ESPECIALIDADE
7861249,AURI MEDICINA DIAGNOSTICA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5281482,BANCO DE OLHOS DE SAO PAULO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7018290,BASE SAMU CENTRO BOM RETIRO AM1082,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7024320,BASE SAMU CENTRO BOM RETIRO AM1149,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5798930,BASE SAMU CENTRO BOM RETIRO URAM MC1112,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5798949,BASE SAMU CENTRO BOM RETIRO URAM MC1119,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752299,BASE SAMU CENTRO BOM RETIRO URAM MC2020,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752302,BASE SAMU CENTRO BOM RETIRO URAM MC2045,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5932572,BASE SAMU CENTRO BOM RETIRO VIR 01 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018215,BASE SAMU CENTRO CAPS AMA SE AM1097,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7257902,BASE SAMU CENTRO CAPS AMA SE AM1181 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5798957,BASE SAMU CENTRO CAPS AMA SE URAM MC1090,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5798973,BASE SAMU CENTRO CAPS AMA SE URAM MC1138,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272308,BASE SAMU CENTRO CAPS AMA SE URAM MC2005,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272294,BASE SAMU CENTRO CAPS AMA SE URAM MC2006,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018142,BASE SAMU CENTRO HSPM AM1081,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7255756,BASE SAMU CENTRO HSPM AM1113,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
