CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,BAIRRO,ANO,MES,PA_PROC_ID,NO_PROCEDIMENTO,QTD_APROVADA,VALOR_APROVADO,QTD_PRODUZIDA,VALOR_PRODUZIDO
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060125,RADIOGRAFIA DE JOELHO (AP + LATERAL),76.0,515.28,76.0,515.28
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060087,RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA,38.0,247.0,38.0,247.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,12.0,455.4000000000001,12.0,455.4000000000001
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040078,RADIOGRAFIA DE COTOVELO,13.0,76.7,13.0,76.7
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,4709.0,0.0,4709.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0301010277,AVALIAÇÃO DO DESENVOLVIMENTO DA CRIANÇA NA PUERICULTURA,127.0,0.0,127.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0301040141,INSERÇÃO DO DISPOSITIVO INTRA-UTERINO (DIU),8.0,0.0,8.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0401010066,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,3.0,0.0,3.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0301010129,CONSULTA PUERPERAL,12.0,0.0,12.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0301060037,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA,2290.0,0.0,2290.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040019,RADIOGRAFIA DE ANTEBRACO,10.0,64.2,10.0,64.2
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0205020186,ULTRASSONOGRAFIA TRANSVAGINAL,26.0,629.2,26.0,629.2
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,130.0,0.0,130.0,0.0
